variant,gpus,N,samples,failed,min_sec,median_sec,max_sec,rel_spread_pct,steps,machine,approach,t_per_step,t_1gpu,speedup,efficiency,t_ref,gain,baseline_eff,baseline_ok
2-omp-stream,2,1152,5,0,24.2562,24.2677,24.2808,0.1,500,H100,03,0.0485354,0.0992744,2.045401912830635,1.0227009564153176,0.0619306279141664,1.2759888228832232,0.4948398189648123,False
2-omp-stream,2,1280,5,0,31.4489,31.4627,31.4752,0.1,500,H100,03,0.0629254,0.131375,2.0877896684009953,1.0438948342004977,0.08018717486257829,1.2743212575935676,0.5048141668562715,False
2-omp-stream-omp,2,512,5,0,1.6934,1.7435,1.7587,3.7,501,H100,03,0.0034800399201596805,0.006913972055888224,1.9867507886435332,0.9933753943217666,0.003607192000491046,1.0365375349848087,0.969166138237159,True
2-omp-stream-omp,2,640,5,0,2.4951,2.5024,2.5313,1.4,500,H100,03,0.0050048,0.0123044,2.458519820971867,1.2292599104859334,0.005239441347198024,1.0468832615085566,1.1299054764794585,True
2-omp-stream-omp,2,768,5,0,6.4996,6.5461,6.5581,0.9,501,H100,03,0.013066067864271457,0.02739061876247505,2.0963168909732515,1.0481584454866257,0.013439001182894273,1.0285421231924399,1.0022925028564733,True
2-omp-stream-omp,2,896,5,0,10.0395,10.0426,10.0628,0.2,501,H100,03,0.02004510978043912,0.04312255489021956,2.151275566088463,1.0756377830442314,0.020430751527488255,1.0192386946877916,1.0447919286501965,True
2-omp-stream-omp,2,1024,5,0,16.2182,16.5887,16.6248,2.5,501,H100,03,0.033111177644710575,0.06822375249500999,2.0604447605900407,1.0302223802950203,0.033581063188500425,1.0141911456255592,1.0212982162633428,True
2-omp-stream-omp,2,1152,5,0,24.2113,24.2215,24.2411,0.1,500,H100,03,0.048443,0.0992744,2.0493033049150546,1.0246516524575273,0.04906912757255744,1.01292503710665,1.003860582442637,True
2-omp-stream-omp,2,1280,5,0,31.342,31.3761,31.4106,0.2,500,H100,03,0.06275220000000001,0.131375,2.0935520985718425,1.0467760492859213,0.06335623171467701,1.0096256659476004,1.002306394975646,True
2-omp-stream-omp-p2p,2,512,5,0,1.653,1.742,1.7509,5.6,501,H100,03,0.0034770459081836327,0.006913972055888224,1.9884615384615385,0.9942307692307693,0.0034854897509119065,1.002428453046421,0.9942307692307693,True
2-omp-stream-omp-p2p,2,640,5,0,2.5309,2.5436,2.5567,1.0,500,H100,03,0.0050872,0.0123044,2.4186979084761755,1.2093489542380877,0.005180025851582594,1.0182469436197896,1.1734487624423173,True
2-omp-stream-omp-p2p,2,768,5,0,6.5512,6.6079,6.6261,1.1,501,H100,03,0.01318942115768463,0.02739061876247505,2.0767112093100684,1.0383556046550342,0.013307989769500395,1.00898967516453,1.0178890211246652,True
2-omp-stream-omp-p2p,2,896,5,0,10.0778,10.0878,10.1079,0.3,501,H100,03,0.020135329341317364,0.04312255489021956,2.1416364321259342,1.0708182160629671,0.020268274562563856,1.0066025848891227,1.0538947553163482,True
2-omp-stream-omp-p2p,2,1024,5,0,16.276,16.6111,16.6504,2.3,501,H100,03,0.03315588822355289,0.06822375249500999,2.057666259308535,1.0288331296542674,0.03331873834087793,1.0049116499677833,1.0288331296542674,True
2-omp-stream-omp-p2p,2,1152,5,0,24.226,24.2686,24.2891,0.3,500,H100,03,0.048537199999999996,0.0992744,2.0453260591875924,1.0226630295937962,0.04867002343854813,1.002736528653242,1.0169524527868758,True
2-omp-stream-omp-p2p,2,1280,5,0,31.4028,31.4378,31.4843,0.3,500,H100,03,0.0628756,0.131375,2.0894432816545683,1.0447216408272841,0.0630509747190604,1.0027892333283563,1.0124174448095908,True
4-omp,4,512,5,0,2.7031,2.7579,2.785,3.0,501,H100,03,0.005504790419161677,0.006913972055888224,1.2559918778780956,0.3139979694695239,0.006716225905442724,1.2200693203621613,0.18032053927637914,False
4-omp,4,640,5,0,3.4972,3.5002,3.5189,0.6,500,H100,03,0.0070004,0.0123044,1.7576709902291296,0.4394177475572824,0.008677486894686021,1.2395701523750102,0.2320017493063096,False
4-omp,4,768,5,0,6.0667,6.3025,6.3248,4.1,501,H100,03,0.012579840319361277,0.02739061876247505,2.1773423244744152,0.5443355811186038,0.01679461993417305,1.335042377948544,0.22739282153539384,False
4-omp,4,896,5,0,8.4671,8.5354,8.7391,3.2,501,H100,03,0.017036726546906186,0.04312255489021956,2.5311526114769083,0.6327881528692271,0.02343433105916623,1.3755184128034166,0.24761521861641445,False
4-omp,4,1024,5,0,12.9174,13.3448,13.4785,4.2,501,H100,03,0.02663632734530938,0.06822375249500999,2.561304777891014,0.6403261944727535,0.03685106684324239,1.383489036063818,0.23729070057274024,False
4-omp,4,1152,5,0,17.9255,17.9433,18.2659,1.9,500,H100,03,0.035886600000000005,0.0992744,2.7663361811929796,0.6915840452982449,0.05156228117270544,1.4368115444958685,0.23743405739399415,False
4-omp,4,1280,5,0,22.0189,22.5227,22.6217,2.7,500,H100,03,0.0450454,0.131375,2.916502017964098,0.7291255044910245,0.06405041781978771,1.421908070963688,0.25275485274353776,False
4-omp-stream,4,512,5,0,1.2389,1.2505,1.2861,3.8,501,H100,03,0.002496007984031936,0.006913972055888224,2.7700119952019193,0.6925029988004798,0.004086564537712396,1.6372401706468698,0.1804340130970876,False
4-omp-stream,4,640,5,0,1.513,1.5165,1.5256,0.8,500,H100,03,0.003033,0.0123044,4.056841411144082,1.0142103527860205,0.005080473231360284,1.6750653581801132,0.23470586440471103,False
4-omp-stream,4,768,5,0,3.3313,3.4264,3.4605,3.8,501,H100,03,0.006839121756487026,0.02739061876247505,4.00499066075181,1.0012476651879525,0.01143754526736877,1.6723704701586954,0.22772278875339477,False
